player,player_id,position,team_name,grades_defense,snap_counts_run,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Aaron Donald,8648,DI,LA,93.5,442,1.0,2021,969,Aaron Donald,2021,30,6,"$135,000,000",22500000
Myles Garrett,11756,ED,CLV,92.0,312,2.0,2021,566,Myles Garrett,2021,25,5,"$125,000,000",25000000
Von Miller,6154,ED,LA,91.2,329,4.0,2021,1905,Von Miller,2021,32,6,"$114,100,000",19016667
Cameron Heyward,6183,DI,PIT,90.8,395,5.0,2021,415,Cameron Heyward,2021,32,4,"$65,600,000",16400000
T.J. Watt,11785,ED,PIT,89.6,314,7.0,2021,330,T.J. Watt,2021,26,4,"$112,011,000",28002750
Joey Bosa,10637,ED,LAC,85.8,352,9.0,2021,509,Joey Bosa,2021,26,5,"$135,000,000",27000000
Zach Sieler,66917,DI,MIA,84.9,278,10.0,2021,647,Zach Sieler,2021,26,2,"$7,630,000",3815000
Jonathan Allen,11772,DI,WAS,84.9,284,10.0,2021,190,Jonathan Allen,2021,26,4,"$72,000,000",18000000
Cameron Jordan,6176,ED,NO,83.7,274,12.0,2021,700,Cameron Jordan,2021,31,3,"$52,500,000",17500000
Chris Jones,10671,DI,KC,83.4,235,13.0,2021,422,Chris Jones,2021,27,4,"$80,000,000",20000000
David Onyemata,10754,DI,NO,81.9,147,16.0,2021,441,David Onyemata,2021,28,3,"$26,000,000",8666667
Preston Smith,9471,ED,GB,81.5,230,17.0,2021,898,Preston Smith,2021,28,4,"$52,000,000",13000000
Melvin Ingram III,7024,ED,KC,80.9,231,18.0,2021,258,Melvin Ingram III,2021,32,1,"$4,000,000",4000000
Calais Campbell,4364,DI,BLT,80.8,191,19.0,2021,413,Calais Campbell,2021,34,2,"$25,000,000",12500000
Shaquil Barrett,9000,ED,TB,80.6,239,20.0,2021,316,Shaquil Barrett,2021,28,4,"$68,000,000",17000000
John Franklin-Myers,50088,ED,NYJ,80.3,281,21.0,2021,185,John Franklin-Myers,2021,25,4,"$55,000,000",13750000
D.J. Reader,10800,DI,CIN,79.5,310,22.0,2021,428,D.J. Reader,2021,26,4,"$53,000,000",13250000
A'Shawn Robinson,10680,DI,LA,77.7,348,24.0,2021,369,A'Shawn Robinson,2021,25,2,"$17,000,000",8500000
Emmanuel Ogbah,10666,ED,MIA,77.0,215,25.0,2021,465,Emmanuel Ogbah,2021,27,2,"$15,000,000",7500000
Josh Sweat,50120,ED,PHI,76.1,234,26.0,2021,201,Josh Sweat,2021,24,3,"$40,000,000",13333333
Arik Armstead,9450,DI,SF,76.0,342,27.0,2021,390,Arik Armstead,2021,27,5,"$85,000,000",17000000
Al Woods,5646,DI,SEA,75.4,304,29.0,2021,8,Al Woods,2021,32,1,"$2,500,000",2500000
Kenny Clark,10661,DI,GB,75.4,281,29.0,2021,531,Kenny Clark,2021,25,4,"$70,000,000",17500000
Markus Golden,9491,ED,ARZ,75.2,261,31.0,2021,251,Markus Golden,2021,30,2,"$5,000,000",2500000
Dalvin Tomlinson,11810,DI,MIN,74.9,282,34.0,2021,78,Dalvin Tomlinson,2021,27,2,"$21,000,000",10500000
Vita Vea,48956,DI,TB,74.4,194,35.0,2021,359,Vita Vea,2021,26,4,"$71,000,000",17750000
Leonard Floyd,10643,ED,LA,73.8,383,36.0,2021,240,Leonard Floyd,2021,28,4,"$64,000,000",16000000
Tyus Bowser,11802,ED,BLT,73.7,276,37.0,2021,354,Tyus Bowser,2021,25,4,"$22,000,000",5500000
D.J. Jones,11953,DI,SF,73.7,301,37.0,2021,74,D.J. Jones,2021,26,1,"$3,500,000",3500000
Trey Hendrickson,11858,ED,CIN,73.4,277,39.0,2021,347,Trey Hendrickson,2021,26,4,"$60,000,000",15000000
Poona Ford,48875,DI,SEA,73.0,366,41.0,2021,289,Poona Ford,2021,25,2,"$12,345,000",6172500
Grover Stewart,11899,DI,IND,72.6,302,42.0,2021,476,Grover Stewart,2021,28,3,"$30,750,000",10250000
Leonard Williams,9439,DI,NYG,71.2,329,47.0,2021,241,Leonard Williams,2021,26,3,"$63,000,000",21000000
Robert Quinn,6166,ED,CHI,69.9,310,51.0,2021,593,Robert Quinn,2021,30,5,"$70,000,000",14000000
Denico Autry,8982,ED,TEN,69.7,210,53.0,2021,105,Denico Autry,2021,30,3,"$21,500,000",7166667
Chris Wormley,11829,DI,PIT,69.3,324,55.0,2021,64,Chris Wormley,2021,27,2,"$4,500,000",2250000
Fletcher Cox,7018,DI,PHI,68.7,308,56.0,2021,1717,Fletcher Cox,2021,30,6,"$102,600,000",17100000
Charles Harris,11777,ED,DET,68.3,350,58.0,2021,57,Charles Harris,2021,26,1,"$1,750,000",1750000
Dawuane Smoot,11823,ED,JAX,68.1,229,59.0,2021,98,Dawuane Smoot,2021,26,2,"$10,000,000",5000000
Haason Reddick,11768,ED,CAR,67.9,341,60.0,2021,142,Haason Reddick,2021,26,1,"$6,000,000",6000000
Sam Hubbard,48457,ED,CIN,67.7,363,62.0,2021,311,Sam Hubbard,2021,26,4,"$40,000,000",10000000
Javon Hargrave,10723,DI,PHI,67.3,296,63.0,2021,497,Javon Hargrave,2021,28,3,"$39,000,000",13000000
Grady Jarrett,9570,DI,ATL,67.2,333,65.0,2021,781,Grady Jarrett,2021,28,4,"$68,000,000",17000000
Samson Ebukam,11880,ED,SF,67.0,215,66.0,2021,312,Samson Ebukam,2021,25,2,"$12,000,000",6000000
Chandler Jones,7027,ED,ARZ,66.9,328,67.0,2021,1331,Chandler Jones,2021,31,5,"$82,500,000",16500000
Dean Lowry,10771,DI,GB,66.6,277,68.0,2021,746,Dean Lowry,2021,27,3,"$20,325,000",6775000
Christian Ringo,9643,DI,NO,66.5,146,69.0,2021,68,Christian Ringo,2021,28,1,"$920,000",920000
Jadeveon Clowney,8636,ED,CLV,66.5,250,69.0,2021,155,Jadeveon Clowney,2021,28,1,"$8,000,000",8000000
DaQuan Jones,8747,DI,CAR,66.4,311,71.0,2021,76,DaQuan Jones,2021,29,1,"$4,050,000",4050000
Matt Ioannidis,10786,DI,WAS,65.4,231,74.0,2021,868,Matt Ioannidis,2021,27,3,"$21,750,000",7250000
Al-Quadin Muhammad,11951,ED,IND,64.6,326,76.0,2021,9,Al-Quadin Muhammad,2021,26,1,"$2,920,000",2920000
Mike Purcell,8530,DI,DEN,64.3,213,79.0,2021,562,Mike Purcell,2021,30,3,"$11,500,000",3833333
Maliek Collins,10701,DI,HST,64.0,262,82.0,2021,244,Maliek Collins,2021,25,1,"$5,000,000",5000000
Davon Godchaux,11934,DI,NE,63.6,330,83.0,2021,97,Davon Godchaux,2021,26,2,"$15,000,000",7500000
Lawrence Guy,6385,DI,NE,63.4,311,84.0,2021,237,Lawrence Guy,2021,31,4,"$11,500,000",2875000
Linval Joseph,5571,DI,LAC,63.1,298,87.0,2021,545,Linval Joseph,2021,32,2,"$17,000,000",8500000
Matthew Judon,10780,ED,NE,62.8,376,89.0,2021,254,Matthew Judon,2021,28,4,"$54,500,000",13625000
Sheldon Richardson,7794,DI,MIN,62.1,219,90.0,2021,322,Sheldon Richardson,2021,30,1,"$3,600,000",3600000
Deatrich Wise Jr.,11886,ED,NE,61.7,248,94.0,2021,101,Deatrich Wise Jr.,2021,26,4,"$22,000,000",5500000
Shelby Harris,8869,DI,DEN,61.3,207,96.0,2021,319,Shelby Harris,2021,29,3,"$27,000,000",9000000
DeMarcus Walker,11806,ED,HST,61.2,182,98.0,2021,100,DeMarcus Walker,2021,26,1,"$1,500,000",1500000
Taylor Stallworth,48935,DI,IND,60.9,114,99.0,2021,619,Taylor Stallworth,2021,25,2,"$1,670,000",835000
Mario Addison,6558,ED,BUF,60.8,158,100.0,2021,552,Mario Addison,2021,33,3,"$30,450,000",10150000
Montravius Adams,11848,DI,PIT,60.5,148,102.0,2021,266,Montravius Adams,2021,25,1,"$1,095,000",1095000
Tarell Basham,11835,ED,DAL,60.2,231,103.0,2021,338,Tarell Basham,2021,27,2,"$5,500,000",2750000
Benson Mayowa,8196,ED,SEA,59.4,243,105.0,2021,35,Benson Mayowa,2021,29,2,"$7,620,000",3810000
William Gholston,7908,DI,TB,59.2,223,106.0,2021,1612,William Gholston,2021,29,5,"$27,500,000",5500000
Shaq Lawson,10653,ED,NYJ,58.6,239,108.0,2021,601,Shaq Lawson,2021,26,3,"$30,000,000",10000000
Carlos Watkins,11897,DI,DAL,58.3,215,109.0,2021,55,Carlos Watkins,2021,27,1,"$1,750,000",1750000
Austin Johnson,10677,DI,NYG,58.3,333,109.0,2021,27,Austin Johnson,2021,26,1,"$3,000,000",3000000
Corey Peters,5607,DI,ARZ,58.0,205,112.0,2021,71,Corey Peters,2021,33,1,"$1,127,500",1127500
Tyler Lancaster,48604,DI,GB,56.3,189,117.0,2021,351,Tyler Lancaster,2021,26,1,"$1,250,000",1250000
Christian Covington,9649,DI,LAC,55.9,264,118.0,2021,65,Christian Covington,2021,27,1,"$990,000",990000
Dante Fowler Jr.,9436,ED,ATL,55.9,184,118.0,2021,437,Dante Fowler Jr.,2021,26,3,"$45,000,000",15000000
Morgan Fox,11184,DI,CAR,55.7,219,121.0,2021,267,Morgan Fox,2021,26,2,"$8,100,000",4050000
Frank Clark,9496,ED,KC,54.9,265,123.0,2021,775,Frank Clark,2021,27,5,"$104,000,000",20800000
Jarran Reed,10683,DI,KC,54.5,291,124.0,2021,168,Jarran Reed,2021,28,1,"$5,500,000",5500000
Ndamukong Suh,5527,DI,TB,52.4,225,127.0,2021,272,Ndamukong Suh,2021,34,1,"$9,000,000",9000000
Adam Gotsis,10697,DI,JAX,52.3,223,128.0,2021,7,Adam Gotsis,2021,28,1,"$1,127,500",1127500
Quinton Jefferson,10781,DI,LV,51.9,238,129.0,2021,293,Quinton Jefferson,2021,27,1,"$3,250,000",3250000
Nathan Shepherd,24614,DI,NYJ,50.8,248,131.0,2021,1180,Nathan Shepherd,2021,27,4,"$3,875,724",968931
Angelo Blackson,9533,DI,CHI,50.8,265,131.0,2021,18,Angelo Blackson,2021,28,2,"$5,500,000",2750000
Nick Williams,8006,DI,DET,50.3,263,133.0,2021,576,Nick Williams,2021,31,2,"$10,000,000",5000000
Shamar Stephen,8854,DI,DEN,49.5,192,137.0,2021,313,Shamar Stephen,2021,29,1,"$1,585,000",1585000
Brandon Williams,7875,DI,BLT,49.1,198,138.0,2021,1312,Brandon Williams,2021,32,5,"$52,500,000",10500000
Bryan Mone,38461,DI,SEA,48.9,202,139.0,2021,47,Bryan Mone,2021,25,1,"$850,000",850000
Larry Ogunjobi,11820,DI,CIN,47.5,238,141.0,2021,235,Larry Ogunjobi,2021,26,1,"$6,200,000",6200000
Yannick Ngakoue,10703,ED,LV,47.1,300,142.0,2021,366,Yannick Ngakoue,2021,25,2,"$26,000,000",13000000
Johnathan Hankins,7830,DI,LV,46.7,286,144.0,2021,188,Johnathan Hankins,2021,28,1,"$3,500,000",3500000
Steven Means,7929,ED,ATL,46.5,290,145.0,2021,327,Steven Means,2021,30,1,"$1,127,500",1127500
Malik McDowell,11790,DI,CLV,46.5,269,145.0,2021,247,Malik McDowell,2021,24,1,"$660,000",660000
Tyeler Davison,9587,DI,ATL,46.3,186,148.0,2021,630,Tyeler Davison,2021,28,3,"$12,000,000",4000000
