player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Charles Woodson,330,S,OAK,16,17,6.1,0,0,23,63.3,65.4,90.2,76.2,63.6,62.0,14.1,10,0,453,475,4.0,18,44
John Abraham,591,ED,ARZ,1,0,-4.0,0,0,1,60.4,54.7,70.5,47.9,66.7,69.9,0.0,0,0,13,13,7.7,1,1
Justin Smith,776,DI,SF,16,12,2.7,0,1,28,67.0,72.9,62.4,55.8,84.6,69.8,8.1,3,2,248,253,6.0,15,22
Ryan Pickett,799,DI,HST,13,1,1.8,0,0,13,,54.6,82.7,48.6,58.9,75.8,12.5,2,0,148,153,8.8,13,13
Julius Peppers,1010,ED,GB,18,10,2.7,1,1,12,83.9,81.6,77.6,81.4,59.2,39.0,17.5,7,3,335,345,5.4,18,23
Dwight Freeney,1019,ED,SD,16,2,2.0,0,0,27,61.3,60.9,53.5,69.7,43.5,23.7,54.5,6,3,146,150,2.1,3,3
Larry Foote,1126,LB,ARZ,16,13,3.1,0,0,1,36.9,41.0,46.1,48.1,55.6,41.6,8.2,5,3,375,385,7.5,28,43
Brett Keisel,1204,DI,PIT,12,5,3.3,1,0,25,72.5,59.9,66.0,56.0,62.0,66.6,0.0,0,1,141,144,5.7,8,9
Ryan Clark,1229,S,WAS,16,14,6.4,0,0,32,50.3,42.9,39.5,33.8,35.2,45.7,26.2,17,2,378,396,2.9,11,34
James Harrison,1251,ED,PIT,12,2,1.9,0,0,25,68.5,81.7,69.8,80.3,71.0,75.9,9.1,2,2,169,172,9.5,16,18
Terence Newman,1321,CB,CIN,14,4,4.9,1,0,7,58.7,62.2,70.2,55.5,77.7,68.2,17.4,4,8,345,359,2.6,9,15
Kevin Williams,1325,DI,SEA,19,10,1.2,0,0,29,58.8,63.7,86.9,58.6,63.7,57.4,8.6,3,0,258,268,6.6,17,22
Terrell Suggs,1326,ED,BLT,18,12,1.8,1,0,3,82.1,77.9,24.4,69.9,82.1,72.7,7.5,3,9,298,305,7.4,22,25
Troy Polamalu,1332,S,PIT,13,5,4.8,0,0,25,69.5,68.0,0.0,72.5,76.5,60.2,11.1,5,6,270,279,7.0,19,35
Calvin Pace,1334,ED,NYJ,16,6,1.4,0,0,22,73.2,68.5,60.3,53.3,75.5,68.6,10.5,2,4,295,304,3.4,10,11
Charles Tillman,1351,CB,CHI,2,0,27.0,0,0,6,68.6,67.4,80.4,68.5,46.5,83.2,0.0,0,0,44,44,0.0,0,2
Rashean Mathis,1355,CB,DET,17,0,4.0,2,0,11,80.3,79.4,69.5,58.3,66.4,62.4,25.0,2,8,325,337,0.3,1,6
Osi Umenyiora,1371,ED,ATL,14,2,3.8,0,0,2,36.3,58.7,83.2,61.8,61.9,39.4,0.0,0,1,41,42,7.3,3,5
Cory Redding,1381,DI,IND,19,8,2.1,1,0,14,75.2,58.3,36.3,58.7,57.5,60.8,10.5,4,5,359,366,5.3,19,26
Lance Briggs,1383,LB,CHI,8,8,2.0,0,0,6,54.4,63.0,76.1,55.6,73.9,54.2,10.7,3,0,167,173,7.8,13,17
Jarret Johnson,1421,ED,SD,15,8,3.1,0,1,27,70.6,66.8,72.2,50.2,69.0,73.7,5.7,2,1,284,290,5.6,16,25
Ike Taylor,1437,CB,PIT,5,0,13.5,2,0,25,39.8,39.1,0.0,,61.9,39.0,33.3,1,3,107,109,0.0,0,2
Chris Clemons,1585,ED,JAX,16,5,4.4,4,0,15,67.2,58.7,25.9,60.3,59.3,47.2,12.5,3,8,282,285,3.9,11,16
Colin Cole,1589,DI,CAR,18,9,3.4,0,0,5,67.1,61.9,85.5,51.6,62.8,76.3,4.3,1,0,194,194,4.6,9,13
Cullen Jenkins,1637,DI,NYG,12,5,2.8,0,0,21,60.5,64.5,85.7,70.3,50.8,52.3,7.1,1,1,113,116,5.3,6,8
